Asset Name,BU,Latitude,Longitude,bws_06_cat,bws_06_lab
SLEX Batino Interchange,Infra,14.200484,121.134953,0,Low (<10%)
SLEX Calamba Interchange,Infra,14.193264,121.141149,0,Low (<10%)
SLEX Sto. Tomas Interchange,Infra,14.126213,121.13827,1,Low - Medium (10-20%)
STAR Tanauan Interchange,Infra,14.086313,121.132534,2,Medium - High (20-40%)
STAR Malvar Interchange,Infra,14.039344,121.150159,2,Medium - High (20-40%)
STAR Balete Interchange,Infra,13.974457,121.148958,3,High (40-80%)
STAR Lipa City Interchange,Infra,13.941832,121.138291,3,High (40-80%)
STAR Ibaan Interchange,Infra,13.840025,121.121047,3,High (40-80%)
STAR Batangas City  Interchange,Infra,13.79752,121.071144,3,High (40-80%)
Bulacan Bulk Water Supply Project,Infra,14.78534,121.07216,3,High (40-80%)
Boracay Airport,Infra,11.92702,121.95951,3,High (40-80%)
North Avenue,Infra,14.655048,121.032748,3,High (40-80%)
Quezon Memorial Circle,Infra,14.652266,121.047631,3,High (40-80%)
University Avenue,Infra,14.655066,121.054781,3,High (40-80%)
Tandang Sora,Infra,14.663344,121.067476,3,High (40-80%)
Don Antonio,Infra,14.676977,121.082669,3,High (40-80%)
Batasan,Infra,14.685058,121.086311,3,High (40-80%)
Manggahan,Infra,14.697358,121.087327,3,High (40-80%)
Dona Carmen,Infra,14.705051,121.078259,3,High (40-80%)
Regalado,Infra,14.706387,121.067999,3,High (40-80%)
Mindanao Avenue,Infra,14.732939,121.061201,3,High (40-80%)
Eagle Cement Plant,Cement,15.05291944,121.06738056,3,High (40-80%)
Northern Cement Plant,Cement,16.165344237,120.568399316127,3,High (40-80%)
Southern Concrete Industries Plant,Cement,6.9355307527,125.486029580804,3,High (40-80%)
Head Office Complex,Properties,14.58321,121.05892,3,High (40-80%)
Makati Diamond Residences,Properties,14.55401,121.02104,3,High (40-80%)
Pasig C5 Complex,Properties,14.57579,121.07423,3,High (40-80%)
155 EDSA Office,Properties,14.5867795,121.055905,3,High (40-80%)
808 Building,Properties,14.5790697,121.063582,3,High (40-80%)
Connecticut Building,Properties,14.60176,121.05798,3,High (40-80%)
Delgado Building,Properties,14.5788102,121.062268,3,High (40-80%)
E Fare ,Properties,14.4766766,120.44154,3,High (40-80%)
Emerald 88,Properties,14.5831712,121.083681,3,High (40-80%)
New Manila International Airport,SMAI,14.7448992875704,120.875215934969,3,High (40-80%)
NAIA Terminal 1,NNIC,14.505,121.00472,3,High (40-80%)
NAIA Terminal 2,NNIC,14.50944,121.013055,3,High (40-80%)
NAIA Terminal 3,NNIC,14.5194444,121.013333,3,High (40-80%)
NAIA Terminal 4,NNIC,14.524722,121.0011111,3,High (40-80%)
